alpha,Tamanho das Camadas Ocultas,Decaimento,Taxa de Apendizado,Momentum,Acurácia Validação,Acurácia Treino
1E-05,"(50, 50)",adaptive,0.005,0.9,0.973684210526316,0.993406593406593
1E-05,"(50, 25)",constant,0.01,0.7,0.973684210526316,0.993406593406593
1E-05,"(50, 25)",adaptive,0.01,0.8,0.973684210526316,0.993406593406593
1E-05,"(25, 75)",adaptive,0.01,0.7,0.973684210526316,0.993406593406593
1E-05,"(25, 50)",constant,0.01,0.8,0.973684210526316,0.993406593406593
1E-05,"(25, 50)",adaptive,0.005,0.9,0.973684210526316,0.993406593406593
1E-06,25,constant,0.005,0.9,0.973684210526316,0.993406593406593
1E-06,"(75, 100)",constant,0.01,0.8,0.973684210526316,0.993406593406593
1E-06,"(75, 50)",adaptive,0.005,0.9,0.973684210526316,0.993406593406593
1E-06,"(75, 25)",constant,0.005,0.9,0.973684210526316,0.993406593406593
1E-06,"(50, 100)",adaptive,0.01,0.8,0.973684210526316,0.993406593406593
1E-06,"(50, 75)",adaptive,0.01,0.8,0.973684210526316,0.993406593406593
1E-07,"(100, 100)",constant,0.01,0.7,0.973684210526316,0.993406593406593
1E-07,"(100, 100)",adaptive,0.01,0.8,0.973684210526316,0.993406593406593
1E-07,"(75, 100)",constant,0.01,0.7,0.973684210526316,0.993406593406593
1E-07,"(75, 75)",adaptive,0.005,0.9,0.973684210526316,0.993406593406593
1E-07,"(25, 100)",adaptive,0.005,0.9,0.973684210526316,0.993406593406593
1E-07,"(25, 50)",adaptive,0.005,0.9,0.973684210526316,0.993406593406593
0,100,adaptive,0.01,0.9,0.973684210526316,0.993406593406593
0,"(100, 100)",adaptive,0.005,0.9,0.973684210526316,0.993406593406593
0,"(75, 100)",constant,0.01,0.5,0.973684210526316,0.993406593406593
0,"(50, 100)",adaptive,0.01,0.6,0.973684210526316,0.993406593406593
0,"(50, 100)",adaptive,0.01,0.7,0.973684210526316,0.993406593406593
0,"(50, 100)",adaptive,0.01,0.8,0.973684210526316,0.993406593406593
0,"(50, 75)",constant,0.01,0.8,0.973684210526316,0.993406593406593
0,"(50, 50)",constant,0.005,0.9,0.973684210526316,0.993406593406593
0.0001,75,constant,0.005,0.9,0.973684210526316,0.991208791208791
0.0001,25,adaptive,0.01,0.9,0.973684210526316,0.991208791208791
0.0001,"(100, 75)",constant,0.01,0.7,0.973684210526316,0.991208791208791
0.0001,"(100, 50)",constant,0.005,0.8,0.973684210526316,0.991208791208791
0.0001,"(75, 100)",constant,0.005,0.8,0.973684210526316,0.991208791208791
0.0001,"(75, 100)",constant,0.01,0.7,0.973684210526316,0.991208791208791
0.0001,"(75, 75)",constant,0.005,0.5,0.973684210526316,0.991208791208791
0.0001,"(50, 50)",constant,0.01,0.8,0.973684210526316,0.991208791208791
0.0001,"(50, 50)",adaptive,0.005,0.6,0.973684210526316,0.991208791208791
0.0001,"(50, 50)",adaptive,0.005,1,0.973684210526316,0.991208791208791
1E-05,75,adaptive,0.005,0.9,0.973684210526316,0.991208791208791
1E-05,50,adaptive,0.01,0.9,0.973684210526316,0.991208791208791
1E-05,25,constant,0.01,0.9,0.973684210526316,0.991208791208791
1E-05,"(75, 100)",constant,0.01,0.6,0.973684210526316,0.991208791208791
1E-05,"(75, 25)",constant,0.01,0.4,0.973684210526316,0.991208791208791
1E-05,"(25, 100)",constant,0.005,0.8,0.973684210526316,0.991208791208791
1E-05,"(25, 75)",constant,0.01,0.7,0.973684210526316,0.991208791208791
1E-06,25,constant,0.01,0.9,0.973684210526316,0.991208791208791
1E-06,"(75, 50)",constant,0.005,0.8,0.973684210526316,0.991208791208791
1E-06,"(50, 100)",adaptive,0.005,0.9,0.973684210526316,0.991208791208791
1E-06,"(50, 100)",adaptive,0.01,1,0.973684210526316,0.991208791208791
1E-06,"(50, 75)",constant,0.01,1,0.973684210526316,0.991208791208791
1E-06,"(25, 50)",constant,0.01,0.8,0.973684210526316,0.991208791208791
1E-06,"(25, 50)",adaptive,0.01,0.6,0.973684210526316,0.991208791208791
1E-06,"(25, 25)",constant,0.01,0.7,0.973684210526316,0.991208791208791
1E-06,"(25, 25)",adaptive,0.005,0.9,0.973684210526316,0.991208791208791
1E-06,"(25, 25)",adaptive,0.01,0.8,0.973684210526316,0.991208791208791
1E-07,75,constant,0.01,0.9,0.973684210526316,0.991208791208791
1E-07,50,constant,0.005,0.8,0.973684210526316,0.991208791208791
1E-07,"(100, 100)",constant,0.01,0.6,0.973684210526316,0.991208791208791
1E-07,"(100, 50)",constant,0.01,0.6,0.973684210526316,0.991208791208791
1E-07,"(100, 25)",adaptive,0.01,0.2,0.973684210526316,0.991208791208791
1E-07,"(75, 100)",constant,0.01,0.5,0.973684210526316,0.991208791208791
1E-07,"(75, 100)",adaptive,0.01,1,0.973684210526316,0.991208791208791
1E-07,"(50, 50)",constant,0.01,0.7,0.973684210526316,0.991208791208791
1E-07,"(50, 50)",adaptive,0.005,0.8,0.973684210526316,0.991208791208791
1E-07,"(50, 25)",adaptive,0.005,0.6,0.973684210526316,0.991208791208791
1E-07,"(25, 75)",constant,0.01,0.7,0.973684210526316,0.991208791208791
0,100,adaptive,0.01,0.8,0.973684210526316,0.991208791208791
0,75,adaptive,0.01,0.9,0.973684210526316,0.991208791208791
0,50,constant,0.01,0.8,0.973684210526316,0.991208791208791
0,25,constant,0.01,0.8,0.973684210526316,0.991208791208791
0,"(100, 75)",adaptive,0.01,0.7,0.973684210526316,0.991208791208791
0,"(100, 25)",constant,0.01,0.6,0.973684210526316,0.991208791208791
0,"(50, 100)",adaptive,0.005,0.9,0.973684210526316,0.991208791208791
0.0001,25,adaptive,0.005,0.9,0.973684210526316,0.989010989010989
0.0001,"(100, 100)",constant,0.01,0.5,0.973684210526316,0.989010989010989
0.0001,"(100, 100)",constant,0.01,0.6,0.973684210526316,0.989010989010989
0.0001,"(100, 50)",adaptive,0.01,0.3,0.973684210526316,0.989010989010989
0.0001,"(100, 50)",adaptive,0.01,0.4,0.973684210526316,0.989010989010989
0.0001,"(100, 25)",constant,0.005,0.6,0.973684210526316,0.989010989010989
0.0001,"(100, 25)",adaptive,0.01,0.6,0.973684210526316,0.989010989010989
0.0001,"(75, 25)",constant,0.01,0.4,0.973684210526316,0.989010989010989
0.0001,"(75, 25)",constant,0.01,0.6,0.973684210526316,0.989010989010989
0.0001,"(50, 100)",constant,0.01,0.7,0.973684210526316,0.989010989010989
0.0001,"(50, 25)",constant,0.005,0.8,0.973684210526316,0.989010989010989
0.0001,"(25, 75)",adaptive,0.005,0.8,0.973684210526316,0.989010989010989
1E-05,75,adaptive,0.01,0.5,0.973684210526316,0.989010989010989
1E-05,25,constant,0.01,0.7,0.973684210526316,0.989010989010989
1E-05,"(100, 50)",constant,0.01,0.3,0.973684210526316,0.989010989010989
1E-05,"(100, 50)",adaptive,0.01,0.6,0.973684210526316,0.989010989010989
1E-05,"(100, 25)",adaptive,0.01,0.3,0.973684210526316,0.989010989010989
1E-05,"(75, 75)",constant,0.01,0.4,0.973684210526316,0.989010989010989
1E-05,"(75, 75)",constant,0.01,0.5,0.973684210526316,0.989010989010989
1E-05,"(75, 75)",adaptive,0.01,0.5,0.973684210526316,0.989010989010989
1E-05,"(75, 50)",constant,0.01,0.7,0.973684210526316,0.989010989010989
1E-05,"(75, 25)",constant,0.01,0.5,0.973684210526316,0.989010989010989
1E-05,"(75, 25)",adaptive,0.005,0.7,0.973684210526316,0.989010989010989
1E-05,"(75, 25)",adaptive,0.01,0.5,0.973684210526316,0.989010989010989
1E-05,"(50, 100)",constant,0.005,0.6,0.973684210526316,0.989010989010989
1E-05,"(50, 100)",adaptive,0.005,0.7,0.973684210526316,0.989010989010989
1E-05,"(50, 75)",constant,0.005,0.8,0.973684210526316,0.989010989010989
1E-05,"(50, 25)",constant,0.01,0.2,0.973684210526316,0.989010989010989
1E-05,"(25, 25)",adaptive,0.001,0.9,0.973684210526316,0.989010989010989
1E-05,"(25, 25)",adaptive,0.005,0.9,0.973684210526316,0.989010989010989
1E-06,100,constant,0.01,0.4,0.973684210526316,0.989010989010989
1E-06,100,constant,0.01,0.6,0.973684210526316,0.989010989010989
1E-06,"(100, 100)",constant,0.01,0.6,0.973684210526316,0.989010989010989
1E-06,"(100, 100)",adaptive,0.01,0.6,0.973684210526316,0.989010989010989
1E-06,"(100, 75)",constant,0.005,0.7,0.973684210526316,0.989010989010989
1E-06,"(100, 25)",constant,0.005,0.8,0.973684210526316,0.989010989010989
1E-06,"(75, 100)",constant,0.01,0.5,0.973684210526316,0.989010989010989
1E-06,"(75, 75)",adaptive,0.005,0.8,0.973684210526316,0.989010989010989
1E-06,"(75, 50)",constant,0.01,0.5,0.973684210526316,0.989010989010989
1E-06,"(75, 50)",constant,0.01,0.7,0.973684210526316,0.989010989010989
1E-06,"(50, 100)",adaptive,0.01,0.3,0.973684210526316,0.989010989010989
1E-06,"(50, 75)",constant,0.01,0.3,0.973684210526316,0.989010989010989
1E-06,"(50, 25)",constant,0.005,0.8,0.973684210526316,0.989010989010989
1E-06,"(25, 75)",constant,0.01,0.6,0.973684210526316,0.989010989010989
1E-06,"(25, 50)",adaptive,0.01,0.7,0.973684210526316,0.989010989010989
1E-07,100,adaptive,0.01,0.6,0.973684210526316,0.989010989010989
1E-07,75,adaptive,0.005,0.8,0.973684210526316,0.989010989010989
1E-07,75,adaptive,0.01,0.7,0.973684210526316,0.989010989010989
1E-07,50,adaptive,0.005,0.8,0.973684210526316,0.989010989010989
1E-07,25,constant,0.005,0.9,0.973684210526316,0.989010989010989
1E-07,"(100, 100)",constant,0.01,1,0.973684210526316,0.989010989010989
1E-07,"(100, 75)",constant,0.005,0.8,0.973684210526316,0.989010989010989
1E-07,"(100, 75)",adaptive,0.01,0.3,0.973684210526316,0.989010989010989
1E-07,"(100, 75)",adaptive,0.01,0.7,0.973684210526316,0.989010989010989
1E-07,"(100, 25)",constant,0.01,0.7,0.973684210526316,0.989010989010989
1E-07,"(75, 75)",constant,0.01,0.7,0.973684210526316,0.989010989010989
1E-07,"(75, 25)",constant,0.01,0.4,0.973684210526316,0.989010989010989
1E-07,"(75, 25)",constant,0.01,0.7,0.973684210526316,0.989010989010989
1E-07,"(75, 25)",constant,0.01,0.8,0.973684210526316,0.989010989010989
1E-07,"(50, 75)",constant,0.01,0.5,0.973684210526316,0.989010989010989
1E-07,"(50, 75)",adaptive,0.01,0.6,0.973684210526316,0.989010989010989
1E-07,"(50, 50)",constant,0.01,0.3,0.973684210526316,0.989010989010989
1E-07,"(50, 50)",constant,0.01,0.5,0.973684210526316,0.989010989010989
1E-07,"(25, 100)",constant,0.005,0.9,0.973684210526316,0.989010989010989
1E-07,"(25, 100)",adaptive,0.01,0.8,0.973684210526316,0.989010989010989
1E-07,"(25, 75)",constant,0.01,0.8,0.973684210526316,0.989010989010989
0,75,constant,0.01,0.3,0.973684210526316,0.989010989010989
0,75,constant,0.01,0.6,0.973684210526316,0.989010989010989
0,25,adaptive,0.01,0.9,0.973684210526316,0.989010989010989
0,"(100, 100)",constant,0.005,0.8,0.973684210526316,0.989010989010989
0,"(100, 75)",constant,0.01,0,0.973684210526316,0.989010989010989
0,"(100, 25)",constant,0.01,0.5,0.973684210526316,0.989010989010989
0,"(75, 100)",adaptive,0.01,0.5,0.973684210526316,0.989010989010989
0,"(75, 75)",constant,0.01,0,0.973684210526316,0.989010989010989
0,"(75, 50)",constant,0.01,0.5,0.973684210526316,0.989010989010989
0,"(75, 50)",constant,0.01,0.7,0.973684210526316,0.989010989010989
0,"(75, 50)",adaptive,0.005,0.7,0.973684210526316,0.989010989010989
0,"(75, 25)",constant,0.005,0.7,0.973684210526316,0.989010989010989
0,"(75, 25)",adaptive,0.01,0.4,0.973684210526316,0.989010989010989
0,"(75, 25)",adaptive,0.01,0.5,0.973684210526316,0.989010989010989
0,"(50, 100)",constant,0.01,0.7,0.973684210526316,0.989010989010989
0,"(25, 100)",adaptive,0.01,0.6,0.973684210526316,0.989010989010989
0.0001,100,constant,0.01,0.8,0.973684210526316,0.986813186813187
